Metric,precision,recall,f1-score,support,Model
accuracy,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752,layers_3_opt_adam_act_relu_epochs_20.h5
macro avg,0.9697089783281733,0.9727777777777777,0.970617727579753,133.0,layers_3_opt_adam_act_relu_epochs_20.h5
weighted avg,0.9706035987802323,0.9699248120300752,0.9696283034057851,133.0,layers_3_opt_adam_act_relu_epochs_20.h5
TV,0.9047619047619048,0.95,0.926829268292683,40.0,layers_3_opt_adam_act_tanh_epochs_5.h5
Geyser,1.0,0.8148148148148148,0.8979591836734694,27.0,layers_3_opt_adam_act_tanh_epochs_5.h5
Refrigerator,0.9375,0.9375,0.9375,32.0,layers_3_opt_adam_act_tanh_epochs_5.h5
Washing Machine,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0,layers_3_opt_adam_act_tanh_epochs_5.h5
AC,0.875,0.875,0.875,16.0,layers_3_opt_adam_act_tanh_epochs_5.h5
accuracy,0.9097744360902256,0.9097744360902256,0.9097744360902256,0.9097744360902256,layers_3_opt_adam_act_tanh_epochs_5.h5
macro avg,0.9053571428571429,0.9043518518518517,0.9018166647522048,133.0,layers_3_opt_adam_act_tanh_epochs_5.h5
weighted avg,0.9155030433225921,0.9097744360902256,0.9098524540090127,133.0,layers_3_opt_adam_act_tanh_epochs_5.h5
TV,1.0,0.95,0.9743589743589743,40.0,layers_3_opt_adam_act_tanh_epochs_10.h5
Geyser,0.8275862068965517,0.8888888888888888,0.8571428571428571,27.0,layers_3_opt_adam_act_tanh_epochs_10.h5
Refrigerator,0.8518518518518519,0.71875,0.7796610169491526,32.0,layers_3_opt_adam_act_tanh_epochs_10.h5
Washing Machine,0.7391304347826086,0.9444444444444444,0.8292682926829268,18.0,layers_3_opt_adam_act_tanh_epochs_10.h5
AC,0.8125,0.8125,0.8125,16.0,layers_3_opt_adam_act_tanh_epochs_10.h5
accuracy,0.8646616541353384,0.8646616541353384,0.8646616541353384,0.8646616541353384,layers_3_opt_adam_act_tanh_epochs_10.h5
macro avg,0.8462136987062024,0.8629166666666667,0.850586228226782,133.0,layers_3_opt_adam_act_tanh_epochs_10.h5
weighted avg,0.8714919900116775,0.8646616541353384,0.8646105107359525,133.0,layers_3_opt_adam_act_tanh_epochs_10.h5
TV,0.9285714285714286,0.975,0.9512195121951219,40.0,layers_3_opt_adam_act_tanh_epochs_20.h5
Geyser,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0,layers_3_opt_adam_act_tanh_epochs_20.h5
Refrigerator,0.9666666666666667,0.90625,0.9354838709677419,32.0,layers_3_opt_adam_act_tanh_epochs_20.h5
Washing Machine,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0,layers_3_opt_adam_act_tanh_epochs_20.h5
AC,0.9333333333333333,0.875,0.9032258064516129,16.0,layers_3_opt_adam_act_tanh_epochs_20.h5
accuracy,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9323308270676691,layers_3_opt_adam_act_tanh_epochs_20.h5
macro avg,0.933259924659519,0.9216203703703704,0.9265572664943239,133.0,layers_3_opt_adam_act_tanh_epochs_20.h5
weighted avg,0.9335157656529036,0.9323308270676691,0.932063523989247,133.0,layers_3_opt_adam_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_adam_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_adam_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_adam_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_adam_act_sigmoid_epochs_10.h5
TV,0.75,0.825,0.7857142857142857,40.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
Geyser,0.6774193548387096,0.7777777777777778,0.7241379310344828,27.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
Refrigerator,0.7419354838709677,0.71875,0.7301587301587301,32.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
Washing Machine,0.75,0.6666666666666666,0.7058823529411765,18.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
AC,0.8181818181818182,0.5625,0.6666666666666666,16.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,layers_3_opt_adam_act_sigmoid_epochs_20.h5
macro avg,0.7475073313782991,0.7101388888888889,0.7225119933030684,133.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
weighted avg,0.7415275725971822,0.7368421052631579,0.7347212327157119,133.0,layers_3_opt_adam_act_sigmoid_epochs_20.h5
TV,0.9069767441860465,0.975,0.9397590361445783,40.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
Geyser,0.7878787878787878,0.9629629629629629,0.8666666666666667,27.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
Refrigerator,1.0,0.8125,0.896551724137931,32.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
Washing Machine,1.0,0.9444444444444444,0.9714285714285714,18.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
AC,0.9285714285714286,0.8125,0.8666666666666667,16.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
accuracy,0.9097744360902256,0.9097744360902256,0.9097744360902256,0.9097744360902256,layers_3_opt_RMSprop_act_relu_epochs_5.h5
macro avg,0.9246853921272526,0.9014814814814814,0.9082145330088828,133.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
weighted avg,0.9203679691527218,0.9097744360902256,0.9100180268464502,133.0,layers_3_opt_RMSprop_act_relu_epochs_5.h5
TV,0.851063829787234,1.0,0.9195402298850575,40.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
Geyser,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
Refrigerator,1.0,0.84375,0.9152542372881356,32.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
Washing Machine,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
AC,1.0,0.9375,0.967741935483871,16.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
accuracy,0.924812030075188,0.924812030075188,0.924812030075188,0.924812030075188,layers_3_opt_RMSprop_act_relu_epochs_10.h5
macro avg,0.9436332452602791,0.919212962962963,0.9285496085737407,133.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
weighted avg,0.9322084936998315,0.924812030075188,0.924892921906071,133.0,layers_3_opt_RMSprop_act_relu_epochs_10.h5
TV,1.0,0.925,0.961038961038961,40.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
Geyser,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
Refrigerator,0.9142857142857143,1.0,0.9552238805970149,32.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
Washing Machine,0.9473684210526315,1.0,0.972972972972973,18.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
AC,1.0,0.9375,0.967741935483871,16.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
accuracy,0.9624060150375939,0.9624060150375939,0.9624060150375939,0.9624060150375939,layers_3_opt_RMSprop_act_relu_epochs_20.h5
macro avg,0.9649234196602616,0.9650925925925925,0.9639881426111566,133.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
weighted avg,0.9647351461360166,0.9624060150375939,0.9624519330971305,133.0,layers_3_opt_RMSprop_act_relu_epochs_20.h5
TV,0.0,0.0,0.0,40.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
Refrigerator,0.24060150375939848,1.0,0.3878787878787879,32.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
accuracy,0.24060150375939848,0.24060150375939848,0.24060150375939848,0.24060150375939848,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
macro avg,0.048120300751879695,0.2,0.07757575757575758,133.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
weighted avg,0.057889083611283844,0.24060150375939848,0.09332421964000912,133.0,layers_3_opt_RMSprop_act_tanh_epochs_5.h5
TV,0.9523809523809523,1.0,0.975609756097561,40.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
Geyser,0.9642857142857143,1.0,0.9818181818181818,27.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
Refrigerator,0.9393939393939394,0.96875,0.9538461538461539,32.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
Washing Machine,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
AC,1.0,0.75,0.8571428571428571,16.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
accuracy,0.9548872180451128,0.9548872180451128,0.9548872180451128,0.9548872180451128,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
macro avg,0.96010101010101,0.9326388888888889,0.9425722786698396,133.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
weighted avg,0.9563275070793867,0.9548872180451128,0.953164239025233,133.0,layers_3_opt_RMSprop_act_tanh_epochs_10.h5
TV,0.9736842105263158,0.925,0.9487179487179487,40.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
Geyser,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
Refrigerator,0.8823529411764706,0.9375,0.9090909090909091,32.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
Washing Machine,0.9,1.0,0.9473684210526315,18.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
AC,0.9333333333333333,0.875,0.9032258064516129,16.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
accuracy,0.924812030075188,0.924812030075188,0.924812030075188,0.924812030075188,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
macro avg,0.9224894816226085,0.9252777777777779,0.9228126925343185,133.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
weighted avg,0.9266095698880448,0.924812030075188,0.9247872309058607,133.0,layers_3_opt_RMSprop_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_10.h5
TV,0.44155844155844154,0.85,0.5811965811965812,40.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
Geyser,0.42857142857142855,0.4444444444444444,0.43636363636363634,27.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
Refrigerator,0.7777777777777778,0.4375,0.56,32.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
Washing Machine,0.5,0.2777777777777778,0.35714285714285715,18.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
accuracy,0.48872180451127817,0.48872180451127817,0.48872180451127817,0.48872180451127817,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
macro avg,0.4295815295815296,0.4019444444444444,0.386940614940615,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
weighted avg,0.4746064294936475,0.48872180451127817,0.44645302900942,133.0,layers_3_opt_RMSprop_act_sigmoid_epochs_20.h5
TV,0.7857142857142857,0.55,0.6470588235294118,40.0,layers_3_opt_SGD_act_relu_epochs_5.h5
Geyser,0.6666666666666666,0.6666666666666666,0.6666666666666666,27.0,layers_3_opt_SGD_act_relu_epochs_5.h5
Refrigerator,0.47540983606557374,0.90625,0.6236559139784946,32.0,layers_3_opt_SGD_act_relu_epochs_5.h5
Washing Machine,0.42857142857142855,0.3333333333333333,0.375,18.0,layers_3_opt_SGD_act_relu_epochs_5.h5
AC,0.6666666666666666,0.125,0.21052631578947367,16.0,layers_3_opt_SGD_act_relu_epochs_5.h5
accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,layers_3_opt_SGD_act_relu_epochs_5.h5
macro avg,0.6046057767369242,0.5162500000000001,0.5045815439928093,133.0,layers_3_opt_SGD_act_relu_epochs_5.h5
weighted avg,0.6242303651400163,0.5789473684210527,0.556073407827969,133.0,layers_3_opt_SGD_act_relu_epochs_5.h5
TV,0.8,0.8,0.8,40.0,layers_3_opt_SGD_act_relu_epochs_10.h5
Geyser,0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,layers_3_opt_SGD_act_relu_epochs_10.h5
Refrigerator,0.7647058823529411,0.8125,0.7878787878787878,32.0,layers_3_opt_SGD_act_relu_epochs_10.h5
Washing Machine,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0,layers_3_opt_SGD_act_relu_epochs_10.h5
AC,0.8461538461538461,0.6875,0.7586206896551724,16.0,layers_3_opt_SGD_act_relu_epochs_10.h5
accuracy,0.7819548872180451,0.7819548872180451,0.7819548872180451,0.7819548872180451,layers_3_opt_SGD_act_relu_epochs_10.h5
macro avg,0.7819770139274783,0.7674074074074074,0.7728033990102956,133.0,layers_3_opt_SGD_act_relu_epochs_10.h5
weighted avg,0.7843972875747357,0.7819548872180451,0.7819451195131777,133.0,layers_3_opt_SGD_act_relu_epochs_10.h5
TV,0.8695652173913043,1.0,0.9302325581395349,40.0,layers_3_opt_SGD_act_relu_epochs_20.h5
Geyser,0.96,0.8888888888888888,0.9230769230769231,27.0,layers_3_opt_SGD_act_relu_epochs_20.h5
Refrigerator,0.9375,0.9375,0.9375,32.0,layers_3_opt_SGD_act_relu_epochs_20.h5
Washing Machine,1.0,0.9444444444444444,0.9714285714285714,18.0,layers_3_opt_SGD_act_relu_epochs_20.h5
AC,0.9230769230769231,0.75,0.8275862068965517,16.0,layers_3_opt_SGD_act_relu_epochs_20.h5
accuracy,0.924812030075188,0.924812030075188,0.924812030075188,0.924812030075188,layers_3_opt_SGD_act_relu_epochs_20.h5
macro avg,0.9380284280936454,0.9041666666666666,0.9179648519083162,133.0,layers_3_opt_SGD_act_relu_epochs_20.h5
weighted avg,0.9283596952246839,0.924812030075188,0.9237554349226874,133.0,layers_3_opt_SGD_act_relu_epochs_20.h5
TV,0.7857142857142857,0.825,0.8048780487804879,40.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
Geyser,0.6666666666666666,0.5925925925925926,0.6274509803921569,27.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
Refrigerator,0.6842105263157895,0.8125,0.7428571428571429,32.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
Washing Machine,0.625,0.5555555555555556,0.5882352941176471,18.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
AC,0.7692307692307693,0.625,0.6896551724137931,16.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,layers_3_opt_SGD_act_tanh_epochs_5.h5
macro avg,0.7061644495855022,0.6821296296296296,0.6906153277122457,133.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
weighted avg,0.7133909817922481,0.7142857142857143,0.710755225909584,133.0,layers_3_opt_SGD_act_tanh_epochs_5.h5
TV,0.6530612244897959,0.8,0.7191011235955056,40.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
Geyser,0.6060606060606061,0.7407407407407407,0.6666666666666666,27.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
Refrigerator,0.6785714285714286,0.59375,0.6333333333333333,32.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
Washing Machine,0.8571428571428571,0.6666666666666666,0.75,18.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
AC,0.6666666666666666,0.375,0.48,16.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
accuracy,0.6691729323308271,0.6691729323308271,0.6691729323308271,0.6691729323308271,layers_3_opt_SGD_act_tanh_epochs_10.h5
macro avg,0.6923005565862709,0.6352314814814815,0.6498202247191011,133.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
weighted avg,0.67891435453197,0.6691729323308271,0.6632384331615556,133.0,layers_3_opt_SGD_act_tanh_epochs_10.h5
TV,0.8611111111111112,0.775,0.8157894736842105,40.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
Geyser,0.7714285714285715,1.0,0.8709677419354839,27.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
Refrigerator,0.8518518518518519,0.71875,0.7796610169491526,32.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
Washing Machine,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
AC,0.875,0.875,0.875,16.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
accuracy,0.8345864661654135,0.8345864661654135,0.8345864661654135,0.8345864661654135,layers_3_opt_SGD_act_tanh_epochs_20.h5
macro avg,0.8402993595098858,0.8515277777777778,0.8412566194867424,133.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
weighted avg,0.8397757133016334,0.8345864661654135,0.8320633690944882,133.0,layers_3_opt_SGD_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_SGD_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_SGD_act_sigmoid_epochs_10.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
Geyser,0.0,0.0,0.0,27.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_3_opt_SGD_act_sigmoid_epochs_20.h5
TV,0.9117647058823529,0.775,0.8378378378378378,40.0,layers_5_opt_adam_act_relu_epochs_5.h5
Geyser,0.9047619047619048,0.7037037037037037,0.7916666666666666,27.0,layers_5_opt_adam_act_relu_epochs_5.h5
Refrigerator,0.8,0.875,0.835820895522388,32.0,layers_5_opt_adam_act_relu_epochs_5.h5
Washing Machine,0.53125,0.9444444444444444,0.68,18.0,layers_5_opt_adam_act_relu_epochs_5.h5
AC,0.9090909090909091,0.625,0.7407407407407407,16.0,layers_5_opt_adam_act_relu_epochs_5.h5
accuracy,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,layers_5_opt_adam_act_relu_epochs_5.h5
macro avg,0.8113735039470333,0.7846296296296297,0.7772132281535267,133.0,layers_5_opt_adam_act_relu_epochs_5.h5
weighted avg,0.8316324376640609,0.7894736842105263,0.7949370979103892,133.0,layers_5_opt_adam_act_relu_epochs_5.h5
TV,0.8809523809523809,0.925,0.9024390243902439,40.0,layers_5_opt_adam_act_relu_epochs_10.h5
Geyser,0.8181818181818182,1.0,0.9,27.0,layers_5_opt_adam_act_relu_epochs_10.h5
Refrigerator,0.9666666666666667,0.90625,0.9354838709677419,32.0,layers_5_opt_adam_act_relu_epochs_10.h5
Washing Machine,0.9375,0.8333333333333334,0.8823529411764706,18.0,layers_5_opt_adam_act_relu_epochs_10.h5
AC,0.9166666666666666,0.6875,0.7857142857142857,16.0,layers_5_opt_adam_act_relu_epochs_10.h5
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,layers_5_opt_adam_act_relu_epochs_10.h5
macro avg,0.9039935064935065,0.8704166666666666,0.8811980244497484,133.0,layers_5_opt_adam_act_relu_epochs_10.h5
weighted avg,0.9007819874361229,0.8947368421052632,0.8931340327758086,133.0,layers_5_opt_adam_act_relu_epochs_10.h5
TV,0.9302325581395349,1.0,0.963855421686747,40.0,layers_5_opt_adam_act_relu_epochs_20.h5
Geyser,0.875,0.7777777777777778,0.8235294117647058,27.0,layers_5_opt_adam_act_relu_epochs_20.h5
Refrigerator,0.9696969696969697,1.0,0.9846153846153847,32.0,layers_5_opt_adam_act_relu_epochs_20.h5
Washing Machine,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0,layers_5_opt_adam_act_relu_epochs_20.h5
AC,1.0,0.9375,0.967741935483871,16.0,layers_5_opt_adam_act_relu_epochs_20.h5
accuracy,0.9172932330827067,0.9172932330827067,0.9172932330827067,0.9172932330827067,layers_5_opt_adam_act_relu_epochs_20.h5
macro avg,0.9105414611228564,0.898611111111111,0.9035039862656973,133.0,layers_5_opt_adam_act_relu_epochs_20.h5
weighted avg,0.9162752282397326,0.9172932330827067,0.9156471748913623,133.0,layers_5_opt_adam_act_relu_epochs_20.h5
TV,0.8292682926829268,0.85,0.8395061728395061,40.0,layers_5_opt_adam_act_tanh_epochs_5.h5
Geyser,0.8947368421052632,0.6296296296296297,0.7391304347826086,27.0,layers_5_opt_adam_act_tanh_epochs_5.h5
Refrigerator,0.8235294117647058,0.875,0.8484848484848485,32.0,layers_5_opt_adam_act_tanh_epochs_5.h5
Washing Machine,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0,layers_5_opt_adam_act_tanh_epochs_5.h5
AC,0.7,0.875,0.7777777777777778,16.0,layers_5_opt_adam_act_tanh_epochs_5.h5
accuracy,0.8120300751879699,0.8120300751879699,0.8120300751879699,0.8120300751879699,layers_5_opt_adam_act_tanh_epochs_5.h5
macro avg,0.8074016461526845,0.8125925925925926,0.8031420089391105,133.0,layers_5_opt_adam_act_tanh_epochs_5.h5
weighted avg,0.820241307792626,0.8120300751879699,0.8099798710019915,133.0,layers_5_opt_adam_act_tanh_epochs_5.h5
TV,0.8636363636363636,0.95,0.9047619047619048,40.0,layers_5_opt_adam_act_tanh_epochs_10.h5
Geyser,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0,layers_5_opt_adam_act_tanh_epochs_10.h5
Refrigerator,0.8285714285714286,0.90625,0.8656716417910447,32.0,layers_5_opt_adam_act_tanh_epochs_10.h5
Washing Machine,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0,layers_5_opt_adam_act_tanh_epochs_10.h5
AC,1.0,0.5625,0.72,16.0,layers_5_opt_adam_act_tanh_epochs_10.h5
accuracy,0.8646616541353384,0.8646616541353384,0.8646616541353384,0.8646616541353384,layers_5_opt_adam_act_tanh_epochs_10.h5
macro avg,0.8809516798990483,0.8281944444444445,0.8413809469444502,133.0,layers_5_opt_adam_act_tanh_epochs_10.h5
weighted avg,0.8736341616436591,0.8646616541353384,0.8605969436922064,133.0,layers_5_opt_adam_act_tanh_epochs_10.h5
