Metric,precision,recall,f1-score,support,Model
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_adam_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_adam_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_adam_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_adam_act_sigmoid_epochs_10.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_adam_act_sigmoid_epochs_20.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_adam_act_sigmoid_epochs_20.h5
TV,0.813953488372093,0.875,0.8433734939759037,40.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
Geyser,0.6052631578947368,0.8518518518518519,0.7076923076923077,27.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
Refrigerator,0.7666666666666667,0.71875,0.7419354838709677,32.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
Washing Machine,1.0,0.6666666666666666,0.8,18.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
AC,1.0,0.625,0.7692307692307693,16.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
accuracy,0.7744360902255639,0.7744360902255639,0.7744360902255639,0.7744360902255639,layers_2_opt_RMSprop_act_relu_epochs_5.h5
macro avg,0.8371766625866993,0.7474537037037037,0.7724464109539897,133.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
weighted avg,0.8077712641456762,0.7744360902255639,0.7766335327691107,133.0,layers_2_opt_RMSprop_act_relu_epochs_5.h5
TV,0.9285714285714286,0.975,0.9512195121951219,40.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
Geyser,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
Refrigerator,0.9090909090909091,0.9375,0.9230769230769231,32.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
Washing Machine,1.0,0.9444444444444444,0.9714285714285714,18.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
AC,1.0,0.875,0.9333333333333333,16.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,layers_2_opt_RMSprop_act_relu_epochs_10.h5
macro avg,0.9601250601250602,0.9389814814814814,0.9484042605993827,133.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
weighted avg,0.9491260619080167,0.9473684210526315,0.9474157116189025,133.0,layers_2_opt_RMSprop_act_relu_epochs_10.h5
TV,0.9047619047619048,0.95,0.926829268292683,40.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
Geyser,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
Refrigerator,0.9696969696969697,1.0,0.9846153846153847,32.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
Washing Machine,1.0,0.8333333333333334,0.9090909090909091,18.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
AC,0.75,0.75,0.75,16.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
accuracy,0.924812030075188,0.924812030075188,0.924812030075188,0.924812030075188,layers_2_opt_RMSprop_act_relu_epochs_20.h5
macro avg,0.9174843674843676,0.8992592592592594,0.906699704992388,133.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
weighted avg,0.9264720242163851,0.924812030075188,0.9243947323536541,133.0,layers_2_opt_RMSprop_act_relu_epochs_20.h5
TV,0.6938775510204082,0.85,0.7640449438202247,40.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
Geyser,0.7857142857142857,0.8148148148148148,0.8,27.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
Refrigerator,0.9375,0.46875,0.625,32.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
Washing Machine,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
AC,0.5217391304347826,0.75,0.6153846153846154,16.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
macro avg,0.7642367816691895,0.7433796296296296,0.7323144832695394,133.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
weighted avg,0.7759365923551506,0.7368421052631579,0.7326054362972501,133.0,layers_2_opt_RMSprop_act_tanh_epochs_5.h5
TV,0.9069767441860465,0.975,0.9397590361445783,40.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
Geyser,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
Refrigerator,0.9615384615384616,0.78125,0.8620689655172413,32.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
Washing Machine,0.8181818181818182,1.0,0.9,18.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
AC,0.875,0.875,0.875,16.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
accuracy,0.9097744360902256,0.9097744360902256,0.9097744360902256,0.9097744360902256,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
macro avg,0.9046470970889576,0.9114351851851852,0.9040448456153829,133.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
weighted avg,0.915316629514916,0.9097744360902256,0.9086335823724992,133.0,layers_2_opt_RMSprop_act_tanh_epochs_10.h5
TV,0.9512195121951219,0.975,0.9629629629629629,40.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
Geyser,1.0,0.9259259259259259,0.9615384615384616,27.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
Refrigerator,0.90625,0.90625,0.90625,32.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
Washing Machine,0.9,1.0,0.9473684210526315,18.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
AC,0.8666666666666667,0.8125,0.8387096774193549,16.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
accuracy,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9323308270676691,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
macro avg,0.9248272357723577,0.9239351851851852,0.923365904594682,133.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
weighted avg,0.9331988507855004,0.9323308270676691,0.9319702511106318,133.0,layers_2_opt_RMSprop_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_10.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_RMSprop_act_sigmoid_epochs_20.h5
TV,0.7894736842105263,0.75,0.7692307692307693,40.0,layers_2_opt_SGD_act_relu_epochs_5.h5
Geyser,0.6538461538461539,0.6296296296296297,0.6415094339622641,27.0,layers_2_opt_SGD_act_relu_epochs_5.h5
Refrigerator,0.5172413793103449,0.9375,0.6666666666666666,32.0,layers_2_opt_SGD_act_relu_epochs_5.h5
Washing Machine,0.5,0.2222222222222222,0.3076923076923077,18.0,layers_2_opt_SGD_act_relu_epochs_5.h5
